"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"70","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"71","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"72","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"73","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"74","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"75","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"76","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"77","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"78","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"79","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"80","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"81","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"82","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"83","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"84","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"85","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"86","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"87","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
